자치구,행정동,번지수,police_entity,police_nam,Y,X
강남구,개포동,14,경찰서,수서경찰서,37.49349727,127.077143
강남구,개포동,1268,지구대,개포지구대,37.4797764,127.0511841
강남구,논현동,89-13,파출소,논현2파출소,37.51521381,127.0338523
강남구,논현동,58-13,파출소,논현1파출소,37.51389596,127.0292956
강남구,대치동,998,경찰서,서울강남경찰서,37.50938995,127.0670705
강남구,대치동,598,지구대,대치지구대,37.49486097,127.0626202
강남구,대치동,1020,치안센터,은마치안센터,37.49835747,127.0614832
강남구,삼성동,35,파출소,삼성2파출소,37.51233923,127.0433046
강남구,삼성동,159-6,치안센터,코엑스치안센터,37.51000319,127.0592804
강남구,삼성동,107-3,파출소,삼성1파출소,37.51484994,127.0605692
강남구,세곡동,120-9,파출소,대왕파출소,37.46518202,127.1073265
강남구,수서동,718-1,파출소,수서파출소,37.48914031,127.1048189
강남구,수서동,214-2,치안센터,수서역치안센터,37.48607726,127.104385
강남구,신사동,539-13,파출소,신사파출소,37.51842377,127.0241393
강남구,압구정동,483,파출소,압구정파출소,37.52931126,127.0356824
강남구,압구정동,458,치안센터,압구정치안센터,37.53061105,127.0305331
강남구,역삼동,830-23,치안센터,역서치안센터 (휴업중),37.49388567,127.0322166
강남구,역삼동,711,지구대,도곡지구대,37.50134591,127.0437077
강남구,역삼동,687-10,지구대,역삼지구대,37.5083531,127.0410199
강남구,일원동,621,지구대,일원지구대,37.49241543,127.0833748
강남구,청담동,8,치안센터,청담2치안센터,37.52272333,127.047874
강남구,청담동,66-3,파출소,청담파출소,37.52081403,127.0542845
강동구,강일동,678-3,파출소,강일파출소,37.56486104,127.1732109
강동구,고덕동,494,파출소,고덕파출소,37.55737447,127.1517512
강동구,길동,157-15,치안센터,길동2치안센터,37.54019934,127.147729
강동구,둔촌동,495,지구대,길동지구대,37.52945177,127.1391911
강동구,둔촌동,115,파출소,둔촌파출소,37.52536413,127.1457449
강동구,명일동,47-30,파출소,명일파출소,37.55361705,127.1560984
강동구,명일동,327-5,치안센터,명일1치안센터,37.54973775,127.1459236
강동구,상일동,188,치안센터,상일치안센터,37.54700269,127.1673826
강동구,상일동,121,파출소,상일파출소,37.55621674,127.1657791
강동구,성내동,541-1,경찰서,서울강동경찰서,37.52867275,127.1268898
강동구,성내동,541-1,지구대,성내지구대,37.52842759,127.1269663
강동구,성내동,39-5,치안센터,성내2치안센터,37.53499659,127.1246151
강동구,암사동,493-13,치안센터,암사1치안센터,37.55148593,127.132734
강동구,암사동,493-13,지구대,암사지구대,37.55147883,127.13264
강동구,암사동,414-19,지구대,암사지구대,37.55496079,127.1407663
강동구,천호동,76-2,치안센터,천호1치안센터,37.54512481,127.1367489
강동구,천호동,453-11,치안센터,천호3치안센터,37.53790545,127.1275889
강동구,천호동,337-121,지구대,천호지구대,37.54258338,127.1207895
강동구,천호동,326-16,치안센터,천호2치안센터,37.54630313,127.1238554
강북구,미아동,867-128,파출소,삼양파출소,37.62481344,127.0182208
강북구,미아동,867-103,치안센터,미아3치안센터,37.62363178,127.0210242
강북구,미아동,864-31,치안센터,숭인치안센터,37.61256213,127.0298961
강북구,미아동,860-146,지구대,솔샘지구대,37.61632092,127.0304231
강북구,미아동,327-1,지구대,미아지구대,37.62015605,127.0282816
강북구,미아동,197-1,치안센터,동화치안센터,37.62714806,127.0267799
강북구,번동,619-34,치안센터,번2치안센터,37.62933561,127.0397314
강북구,번동,619-34,경찰서,가족간범죄 통합예방지원센터,37.62927795,127.0397223
강북구,번동,415-15,경찰서,서울강북경찰서,37.63740656,127.0273387
강북구,번동,410-23,파출소,번동파출소,37.63599068,127.0325974
강북구,번동,242-6,파출소,번3파출소,37.62363103,127.0481652
강북구,수유동,605-512,파출소,수유2파출소,37.64090972,127.0171042
강북구,수유동,605-472,치안센터,수유6치안센터,37.6442039,127.0157815
강북구,수유동,605-409,파출소,수유1파출소,37.63069968,127.0175913
강북구,수유동,410-342,파출소,인수파출소,37.63948314,127.0124359
강북구,수유동,166-75,파출소,수유3파출소,37.6443353,127.0266047
강북구,우이동,265,치안센터,우이치안센터,37.66310956,127.0129294
강서구,개화동,442-9,치안센터,개화2치안센터,37.57930117,126.7999409
강서구,내발산동,748-5,지구대,발산지구대,37.54940782,126.8260169
강서구,등촌동,706-1,지구대,가양지구대,37.5592581,126.850092
강서구,등촌동,513-6,파출소,등촌2파출소,37.54478803,126.8618713
강서구,방화동,822,파출소,방화3파출소,37.57981538,126.8146885
강서구,방화동,620-111,지구대,공항지구대,37.56236914,126.8082939
강서구,염창동,272-1,파출소,염창파출소,37.55185824,126.8674351
강서구,화곡동,980-30,지구대,서울강서경찰서 화곡지구대,37.55174773,126.8503583
강서구,화곡동,980-27,경찰서,서울강서경찰서,37.55134709,126.8498861
강서구,화곡동,980-27,경찰서,서울강서경찰서 보안과,37.55132724,126.8498657
강서구,화곡동,901-14,지구대,까치산지구대,37.5293427,126.8455496
강서구,화곡동,776-4,지구대,곰달래지구대,37.53289631,126.8631332
강서구,화곡동,1019,파출소,화곡3파출소,37.54472867,126.8352568
관악구,난곡동,634-3,치안센터,난곡치안센터,37.4712585,126.9200401
관악구,남현동,1086-1,파출소,남현파출소,37.4746965,126.9778193
관악구,미성동,1566-34,파출소,미성파출소,37.47994116,126.915617
관악구,봉천동,969-14,지구대,당곡지구대,37.48830194,126.9314377
관악구,봉천동,738-256,치안센터,인헌치안센터,37.47394747,126.965384
관악구,봉천동,1733,치안센터,청룡2치안센터,37.47822035,126.9410669
관악구,봉천동,1718,지구대,구암지구대,37.48716111,126.9449065
관악구,봉천동,1708,치안센터,보라매치안센터,37.48333745,126.9434621
관악구,봉천동,1695-5,경찰서,서울관악경찰서,37.47458753,126.9510624
관악구,봉천동,1685-2,치안센터,행운치안센터,37.47846214,126.9615289
관악구,봉천동,1620-9,지구대,낙성대지구대,37.47839323,126.957633
관악구,봉천동,1003,치안센터,청림치안센터,37.49139953,126.9583109
관악구,신림동,818-20,치안센터,대학동치안센터,37.46857323,126.9375555
관악구,신림동,808-402,지구대,관악산지구대,37.47383026,126.9352087
관악구,신림동,69-9,치안센터,삼성치안센터,37.46250076,126.9316737
관악구,신림동,634-3,치안센터,신림3치안센터,37.47125488,126.9200175
관악구,신림동,517-5,지구대,신사지구대,37.48728516,126.9141976
관악구,신림동,1735-6,파출소,난우파출소,37.46110897,126.9192416
관악구,신림동,1637-24,치안센터,서원치안센터,37.48189631,126.9292863
관악구,신림동,1628-43,치안센터,신원치안센터,37.47946182,126.9263943
관악구,신림동,10-484,지구대,신림지구대,37.48400342,126.9333366
광진구,광장동,231-1,지구대,광나루지구대,37.544456,127.1033347
광진구,구의동,668-2,파출소,구의파출소,37.54589642,127.0916678
광진구,구의동,254-32,경찰서,서울광진경찰서,37.54292165,127.0839617
광진구,능동,18,치안센터,대공원치안센터,37.55159291,127.0888184
광진구,자양동,799-2,파출소,자양1파출소,37.53665548,127.076925
광진구,자양동,669-2,치안센터,자양2치안센터,37.52882584,127.0847367
광진구,자양동,553-632,파출소,자양파출소,37.53386933,127.071609
광진구,자양동,55-12,파출소,자양4파출소,37.53518574,127.0636496
광진구,중곡동,684,파출소,중곡3파출소,37.56881896,127.0801411
광진구,중곡동,47-33,파출소,중곡2파출소,37.56019376,127.081413
광진구,중곡동,18-144,파출소,중곡4파출소,37.56532523,127.0873044
광진구,중곡동,165-6,파출소,중곡1파출소,37.56373554,127.0827615
광진구,화양동,122,지구대,화양지구대,37.54661684,127.0713315
구로구,가리봉동,136-80,파출소,가리봉파출소,37.47920173,126.892667
구로구,개봉동,416-168,치안센터,개봉1치안센터,37.50313977,126.8469562
구로구,개봉동,360-4,치안센터,개봉3치안센터,37.48585275,126.8538254
구로구,개봉동,259-1,지구대,개봉지구대,37.49183145,126.8564552
구로구,개봉동,142-32,치안센터,개봉치안센터,37.49800443,126.8529377
구로구,고척동,339-3,지구대,고척지구대,37.50659217,126.858318
구로구,구로동,766-238,지구대,구일지구대,37.48930566,126.8907258
구로구,구로동,704-12,치안센터,구로2치안센터,37.49130241,126.8833096
구로구,구로동,685-243,치안센터,구로1치안센터,37.49119677,126.8751637
구로구,구로동,603-26,치안센터,구로치안센터,37.50403665,126.8809283
구로구,구로동,569-3,지구대,신구로지구대,37.50222676,126.8838762
구로구,구로동,436,경찰서,서울구로경찰서,37.49488447,126.8866603
구로구,구로동,256-1,파출소,구로3파출소,37.48667891,126.8913673
구로구,신도림동,390-44,치안센터,신도림치안센터,37.50767302,126.8808457
구로구,오류동,81-130,지구대,오류지구대,37.49477845,126.838836
구로구,온수동,120-8,치안센터,수궁치안센터,37.49347736,126.8189051
구로구,천왕동,13-1,파출소,천왕파출소,37.48385246,126.8425634
금천구,가산동,139-2,파출소,가산파출소,37.47995791,126.8880622
금천구,독산동,968-2,치안센터,독산본치안센터,37.47532296,126.8999396
금천구,독산동,191-2,지구대,문성지구대,37.46953058,126.9034426
금천구,독산동,1088-3,치안센터,신독산치안센터,37.45794779,126.8878102
금천구,독산동,1006-96,파출소,독산파출소,37.46465049,126.8947541
금천구,시흥동,995-2,파출소,금천파출소,37.45424282,126.8998411
금천구,시흥동,985-26,치안센터,시흥3치안센터,37.44576842,126.9026279
금천구,시흥동,927-3,치안센터,시흥5치안센터,37.44859941,126.9094411
금천구,시흥동,841,치안센터,시흥본동치안센터,37.45553218,126.9041975
금천구,시흥동,3-83,치안센터,시흥4치안센터,37.4623278,126.9101705
금천구,시흥동,244-38,지구대,백산지구대,37.45108499,126.9126116
금천구,시흥동,1030,경찰서,서울금천경찰서,37.45725315,126.8967492
노원구,공릉2동,441-121,치안센터,공릉치안센터,37.62673188,127.0789163
노원구,공릉동,91-1,치안센터,공릉2치안센터,37.62264679,127.0866464
노원구,공릉동,567-18,지구대,화랑지구대,37.62253607,127.0746392
노원구,상계3.4동,111-41,치안센터,상계4치안센터,37.67148621,127.077871
노원구,상계동,720-5,지구대,노원역지구대,37.65502299,127.0669429
노원구,상계동,681,지구대,마들지구대,37.66457523,127.0636284
노원구,상계동,657,치안센터,상계8치안센터,37.6668443,127.0517566
노원구,상계동,335-4,파출소,지하철경찰대 노원출장소,37.65632953,127.0634673
노원구,상계동,1261,파출소,상계1파출소,37.67970157,127.0550712
노원구,상계동,117-8,파출소,당고개파출소,37.66701867,127.0758488
노원구,월계동,596,치안센터,월계2치안센터,37.62846148,127.0557493
노원구,월계동,412-8,치안센터,월계치안센터,37.62286444,127.061427
노원구,월계동,320-5,지구대,월계지구대,37.63367375,127.0593196
노원구,월계동,15-2,치안센터,월계3치안센터,37.62087607,127.0693567
노원구,중계동,511,지구대,당현지구대,37.64201196,127.0683816
노원구,중계동,363-5,치안센터,중계본동치안센터,37.64762652,127.0804115
노원구,중계동,359-6,지구대,불암지구대,37.65243981,127.077357
노원구,하계동,250,경찰서,서울노원경찰서,37.64233453,127.0714048
노원구,하계동,141-8,치안센터,하계1치안센터,37.63329159,127.0724702
도봉구,도봉동,69-2,파출소,도봉2파출소,37.68400359,127.0493017
도봉구,도봉동,594-24,파출소,도봉1파출소,37.67945867,127.0434209
도봉구,방학동,687-3,파출소,방학파출소,37.66450631,127.0400267
도봉구,방학동,498-12,파출소,신방학파출소,37.65848963,127.0271084
도봉구,쌍문동,43-3,파출소,쌍문파출소,37.65758383,127.038033
도봉구,쌍문동,416-27,치안센터,쌍문1치안센터,37.65008485,127.0201885
도봉구,쌍문동,349-34,파출소,숭미파출소,37.64747095,127.0255996
도봉구,창동,647-10,파출소,신창파출소,37.64350791,127.0346356
도봉구,창동,33-2,지구대,창동지구대,37.65228082,127.0517782
도봉구,창동,17,경찰서,서울도봉경찰서,37.65339042,127.052706
동대문구,답십리동,530-24,치안센터,답십리1치안센터,37.56466269,127.056811
동대문구,답십리동,16-14,치안센터,답십리2치안센터,37.56718718,127.0606252
동대문구,답십리동,1004-1,지구대,답십리지구대,37.57126601,127.051052
동대문구,신설동,76-89,치안센터,신설치안센터,37.57621742,127.0242213
동대문구,용두동,696-10,지구대,용신지구대,37.57278487,127.0371747
동대문구,용두동,230-1,치안센터,용두치안센터,37.57834856,127.0340213
동대문구,이문동,92-1,지구대,이문지구대,37.59645818,127.0681111
동대문구,이문동,251-18,치안센터,이문2치안센터,37.6039757,127.0622042
동대문구,장안동,354-9,치안센터,장안3치안센터,37.56784672,127.0733168
동대문구,장안동,329-5,파출소,장안2파출소,37.57676228,127.0744168
동대문구,장안동,237-38,치안센터,남장안치안센터,37.56543521,127.0614704
동대문구,장안동,217-1,치안센터,장안1치안센터,37.56544605,127.0614251
동대문구,장안동,164-10,파출소,장안1파출소,37.56963556,127.065001
동대문구,전농동,650-1,파출소,전농1파출소,37.57619575,127.0479649
동대문구,전농동,558-199,치안센터,전농4치안센터,37.5792122,127.0523933
동대문구,전농동,103-570,파출소,전농2파출소,37.58633821,127.0542664
동대문구,제기동,287-33,파출소,제기파출소,37.58556114,127.0420269
동대문구,청량리동,232-2,파출소,청량리파출소,37.58408952,127.045264
동대문구,청량리동,229,경찰서,서울동대문경찰서,37.58508042,127.0457628
동대문구,회기동,103-46,파출소,회기파출소,37.59112896,127.0518763
동대문구,휘경동,43-267,파출소,휘경파출소,37.58470209,127.0680121
동작구,노량진동,72-35,경찰서,서울동작경찰서,37.51314695,126.9428571
동작구,대방동,68-55,지구대,노량진지구대,37.51115253,126.9333124
동작구,대방동,417-4,파출소,대방파출소,37.4985522,126.9205764
동작구,동작동,102,지구대,서울동작경찰서 남성지구대,37.49699166,126.9813331
동작구,본동,150-1,치안센터,노들치안센터,37.51237681,126.9536437
동작구,사당동,300-8,치안센터,사당4치안센터,37.4809337,126.9713639
동작구,사당동,200-8,치안센터,사당5치안센터,37.48899442,126.9657253
동작구,사당동,169-21,치안센터,사당3치안센터,37.48361585,126.9746463
동작구,사당동,1028-1,지구대,사당지구대,37.48054256,126.9795451
동작구,상도동,901,지구대,상도지구대,37.50593461,126.9362045
동작구,상도동,495-4,치안센터,상도5치안센터,37.49471746,126.9545593
동작구,상도동,495-4,치안센터,상도1치안센터,37.49474088,126.9545378
동작구,상도동,364-36,치안센터,상도2치안센터,37.50416296,126.939116
동작구,상도동,320-13,치안센터,상도3치안센터,37.49992431,126.9303776
동작구,상도동,198-66,치안센터,상도4치안센터,37.50069335,126.9376972
동작구,신대방동,719-2,지구대,신대방지구대,37.48662654,126.9059398
동작구,흑석동,341-6,지구대,흑석지구대,37.5093509,126.9601343
동작구,흑석동,269-1,치안센터,흑석2치안센터,37.50598469,126.9689476
마포구,노고산동,57-66,지구대,서강지구대 노고산치안센터,37.55450587,126.9347032
마포구,대흥동,298-4,치안센터,대흥치안센터,37.5477123,126.9415067
마포구,도화동,6-69,치안센터,도화치안센터,37.54127235,126.9502086
마포구,동교동,179-37,치안센터,동교치안센터,37.5572378,126.9286583
마포구,망원동,471-22,치안센터,망원2치안센터,37.56162779,126.9037404
마포구,망원동,398-1,파출소,망원파출소,37.55436496,126.9027719
마포구,상암동,1614,파출소,상암파출소,37.57829311,126.8938336
마포구,서교동,491,지구대,홍익지구대,37.55184681,126.9133677
마포구,서교동,369-9,치안센터,서교치안센터,37.55241425,126.9207955
마포구,성산동,602,지구대,월드컵지구대,37.56873187,126.909083
마포구,아현동,785,지구대,공덕지구대,37.55179398,126.954081
마포구,아현동,710,치안센터,아현치안센터,37.55739682,126.9602389
마포구,아현동,618-1,경찰서,서울마포경찰서,37.55101186,126.9539412
마포구,아현동,618-1,경찰서,마포경찰서 경무과,37.55079298,126.9541122
마포구,연남동,373-20,파출소,연남파출소,37.56033325,126.9237309
마포구,용강동,503,지구대,용강지구대,37.5425846,126.9431062
마포구,창전동,402-59,지구대,서강지구대,37.54734884,126.9293151
서대문구,남가좌동,336-21,파출소,남가좌파출소,37.57606935,126.9240624
서대문구,대현동,27-14,지구대,신촌지구대,37.55855024,126.9430126
서대문구,미근동,165,경찰서,서울서대문경찰서,37.56490234,126.9667907
서대문구,북가좌동,333-5,파출소,북가좌파출소,37.58298847,126.9128878
서대문구,북아현동,176-53,치안센터,북아현치안센터,37.56245147,126.9553784
서대문구,북아현동,135-8,치안센터,북아현1치안센터,37.55769101,126.9564722
서대문구,연희동,86-12,파출소,연희파출소,37.57027949,126.9328749
