"자치구","안심 명","안심 주소","WGS Y 좌표","WGS X 좌표"
"중랑구","면목4동행복터작은도서관","답십리로81길 35","37.57319","127.08348"
"중랑구","상봉2동 주민센터","동일로 114길 10","37.59311","127.08090"
"중랑구","면목5동 주민센터","동일로 619","37.58575281","127.0794744"
"중랑구","중화1치안센터","동일로 792","37.60117","127.07981"
"중랑구","면목4동주민센터","면목로 246","37.57470148","127.0856085"
"중랑구","면목본동 주민센터","면목로 397","37.58735563","127.0875552"
"중구","약수교회 식당입구","다산로8길 32","37.55254904","127.0109231"
"중구","충현공영주차장","동호로 11나길 47","37.552183","127.0057"
"중구","장충체육관 후문","동호로 241","37.55864066","127.0066775"
"중구","다산동공영주차장","동호로15길 60 ","37.554383","127.008608"
"중구","버티 공영주차장","동호로17길 270","37.54907252","127.0063049"
"중구","약수동공영주차장","동호로8다길 22","37.55224091","127.0133313"
"중구","장충공영주차장","장충동2가 192-129","37.55999","127.00102"
"중구","명동주민센터","퇴계로20길 3","37.56004794","126.9858184"
"종로구","종로육아종합지원센터","성균관로1길 6-3","37.58343832","126.9977809"
"종로구","청운효자동 자치회관","자하문로19길 36","37.58183052","126.9692258"
"종로구","숭인제2동주민센터","종로65길 10","37.574875","127.019961"
"종로구","숭인1동 주민센터","지봉로 86","37.57782274","127.0156282"
"종로구","종로구민회관","지봉로5길 7-5","37.5735","127.014367"
"은평구","연신내 지구대","갈현로 195","37.61521273","126.9127089"
"은평구","갈현1동 주민센터","갈현로 301","37.62368848","126.9166888"
"은평구","구산동주민센터","갈현로17길 10","37.61175587","126.9103541"
"은평구","시립은평청소년센터","백련산로4길 16","37.594217","126.924544"
"은평구","불광1동 치안센터","불광로 129","37.61830296","126.9329288"
"은평구","역촌동 주민센터","연서로 59","37.60440243","126.9151008"
"은평구","불광보건분소","연서로34길 11","37.6215625","126.9276913"
"은평구","녹번 119안전센터","은평로 245","37.601105","126.9351461"
"은평구","신사종합사회복지관","은평로 38","37.59804776","126.9121957"
"은평구","아인스하임","은평터널로7가길 8","37.592086","126.903314"
"은평구","증산 정보도서관","증산로5길 6","37.58280941","126.9076713"
"은평구","갈현청소년센터쉼쉼","통일로89길 6-20","37.625481","126.919433"
"용산구","용산구청후문","녹사평대로 150","37.53245232","126.9904788"
"용산구","갈월종합사회복지관","두텁바위로 25","37.54577416","126.9748245"
"용산구","용산꿈나무종합타운","백범로 329","37.53890384","126.9650122"
"용산구","용산치안센터(2가동주민센터)","신흥로 90","37.54607483","126.9855706"
"용산구","한남동공영주차장","이태원로 224-19","37.53485711","127.0002687"
"용산구","보광동주민센터","장문로 95","37.5263","127.000183"
"용산구","효창종합사회복지관","효창원로 146-12","37.541217","126.963086"
"용산구","효창동주민센터","효창원로 161","37.54250832","126.9618378"
"용산구","숙대 명재관 인근","효창원로86길 33","37.54700557","126.9650752"
"영등포구","그린케어센터","당산로29길 9","37.52598152","126.8939756"
"영등포구","다사랑어린이공원(경로당)","대림로23가길 5","37.4928339","126.8992264"
"영등포구","신길6동 복지관","대방천로 193","37.499203","126.912428"
"영등포구","대림정보문화도서관","도신로 27","37.50431876","126.8960774"
"영등포구","청소년상담복지센터","도영로22길 36","37.510158","126.903292"
"영등포구","도림동 주민센터","도영로7길 10","37.50949341","126.8959996"
"영등포구","영등포 평생학습관","버드나루로15길 10","37.52599162","126.9072622"
"영등포구","신길4동1동1마을공영주차장","신길로40길 5","37.50715234","126.9116553"
"영등포구","영등포본동주민센터","신길로61길 17","37.51466634","126.9093393"
"영등포구","영등포 제1스포츠센터","신풍로 1","37.500542","126.906306"
"영등포구","신길7동 주민센터","여의대방로43길 10","37.50639206","126.9215141"
"영등포구","신길1동 주민센터","영등포로84길 24-5","37.51116877","126.9214423"
"양천구","신월3동주민센터","남부순환로54길 5","37.53363175","126.8290822"
"양천구","신월1동 청소년독서실","남부순환로59길 8","37.532056","126.832253"
"양천구","목3동주민센터","목동중앙남로16나길 55","37.54474118","126.8644361"
"양천구","목동실버복지문화센터","목동중앙로3길 21","37.53646453","126.869268"
"양천구","목동문화체육센터","목동중앙본로 73","37.54280842","126.8690875"
"양천구","목동보건지소","목동중앙본로7가길 11","37.54008816","126.8669731"
"양천구","신정4동주민센터","오목로34길 5","37.52456033","126.8558029"
"양천구","신월4동주민센터","오목로5길 34","37.52469581","126.8400811"
"양천구","경창시장고객주차장","월정로 48","37.524039","126.842356"
"양천구","양천나눔누리센터","중앙로 250","37.51890134","126.8537493"
"양천구","신월문화체육센터","지양로 47","37.52044809","126.8345672"
"양천구","신월5동주민센터","화곡로4길 10","37.53858212","126.8271743"
"송파구","거여2동주민센터","거마로2길 19","37.49353895","127.1468273"
"송파구","문정1동 주민센터","동남로 116","37.49007381","127.1241807"
"송파구","여의도 순복음송파교회","마천로 17","37.51010728","127.1229655"
"송파구","마천2동주민센터","마천로 287","37.49684222","127.1485343"
"송파구","삼전지구대","백제고분로 238","37.5027240302616","127.09272587335761"
"송파구","송파노인종합복지관","백제고분로32길 41","37.49866848","127.0948956"
"송파구","석촌동주민센터","백제고분로37길 16","37.50356292","127.1036842"
"송파구","송파여성 문화회관","백제고분로42길 5","37.50592939","127.1097315"
"송파구","장지동 주민센터","새말로19길 6","37.48696579","127.1324383"
"송파구","가락2동 치안센터","오금로46길 55","37.493222","127.132364"
"송파구","거여1동주민센터","오금로53길 32","37.49694015","127.1433044"
"성북구","석관동주민센터"," 화랑로 296","37.612964","127.061411"
"성북구","정릉감리교회","보국문로8길 23","37.60782","127.01142"
"성북구","안암교회","보문로30가길 41-6","37.58935694","127.0223492"
"성북구","제일빌딩","북악산로31길 8","37.59294637","127.0355512"
"성북구","성북희망나눔봉사센터","삼양로 20","37.60501499","127.024878"
"성북구","아리랑 시네미디어센터","아리랑로 82","37.60005916","127.0139264"
"성북구","장위1동 주민센터","장위로 61","37.61406941","127.0436685"
"성북구","보문부모아이지원센터","지봉로24길 26","37.583872","127.019325"
"성북구","성북청소년수련관","한천로 660-9","37.61763854","127.0557322"
"성동구","성동구립도서관","고산자로10길 9","37.55917986","127.0349607"
"성동구","성수2가3동공영주차장","광나루로 4가길 23","37.549125","127.055178"
"성동구","강변공영주차장","둘레길 47-5","37.536964","127.049067"
"성동구","열린금호교육문화회관","무수막길 69","37.552556","127.020108"
"성동구","왕십리제2동주민센터","무학봉15길 6","37.56178","127.03100"
"성동구","하왕십리 공영주차장","무학봉길 48","37.560286","127.027922"
"성동구","사근동주민센터","사근동길 37","37.56149947","127.0453261"
"성동구","성수2가1동 공영주차장","성덕정길 115","37.537175","127.056164"
"성동구","성동구민종합체육센터","왕십리로 89","37.54584155","127.044028"
"성동구","용답공영주차장","용답 29길 22","37.564564","127.054308"
"서초구","양재2동주민센터","강남대로12길 44","37.470645","127.041283"
"서초구","언구비 공영주차장","강남대로83길 55","37.50472778","127.0209716"
"서초구","양재1동민원분소","남부순환로 2610","37.48452","127.03613"
"서초구","방배열린문화센터","방배로 173","37.488914","126.992208"
"서초구","서초꿈나무라이온스 보금자리","언남10길 48","37.47228556","127.045558"
"서초구","방음언덕형 공영주차장","주흥3길 34","37.504856","127.018344"
"서초구","방배2동 주민센터","청두곶길 36","37.47977266","126.9855596"
"서대문구","청년누리"," 증가로4길 8-45","37.576203","126.926378"
"서대문구","서부제일교회 어린이도서관","가좌로 154","37.5858722","126.9234383"
"서대문구","신한은행 명지대 지점","거북골로 45(남가좌동)","37.578786","126.923069"
"서대문구","남가좌2동제2공영주차장","명지대5길 10-8","37.583156","126.92295"
"서대문구","홍은2동 주민센터","모래내로 334","37.58010822","126.9341504"
"서대문구","봉원교회 북카페 옆","봉원사2길 13","37.56824","126.94669"
"서대문구","북아현동 주민센터","북아현로 24","37.559471","126.9570364"
"서대문구","충현동주민센터","북아현로22길 38","37.56480694","126.9547199"
"서대문구","홍제3동 주민센터","세검정로4길 32","37.59376654","126.9496911"
"서대문구","연희동주민센터","연희로 189","37.57388702","126.9352207"
"서대문구","남가좌새롬어린이도서관","증가로10길 16-15","37.578339","126.924044"
"서대문구","홍성교회 야외테라스","포방터길 28","37.59786825","126.9491593"
"서대문구","홍은1동주민센터","홍은중앙로 85","37.59885301","126.9471453"
"마포구","마포아트센터","대흥로20길 28","37.54990608","126.9455338"
"마포구","도화동 주민센터","도화길 37","37.54153102","126.9498754"
"마포구","서강동주민센터","독막로 165","37.547486","126.931939"
"마포구","신수동주민센터","독막로 192","37.54715922","126.9351046"
"마포구","연남동 주민커뮤니티센터","동교로41길 36","37.56385777","126.9234261"
"마포구","상암동 주민센터후문","매봉산로2길 16","37.578333","126.894672"
"마포구","연남동희망원룸주택","성미산로17길 79","37.56502166","126.9171983"
"마포구","성산1동주민센터","성산로 4길 15","37.563367","126.907897"
"마포구","상암동 제1공영주차장","성암로 197","37.57727381","126.8971661"
"마포구","대흥동주민센터","신촌로26길 10","37.555879","126.942393"
"마포구","동교치안센터","신촌로2안길 27","37.55727","126.92866"
"마포구","망원2치안센터","월드컵로31길 18","37.561628","126.903753"
"마포구","성산2동주민센터","월드컵북로30길 22","37.56861385","126.9089696"
"마포구","서교동교회","잔다리로6길 11","37.552472","126.919822"
"마포구","서현교회","잔다리로7길 31","37.55285","126.916081"
"동작구","예그리나주택","국사봉8길 47","37.49471905","126.9308598"
"동작구","사당노인종합복지관","남부순환로 2081","37.47701714","126.9798517"
"동작구","스페이스살림","노량진로 10","37.512350","126.927154"
"동작구","순만빌딩","노량진로 169","37.51409934","126.9448254"
"동작구","현대오일뱅크 사당셀프점","동작대로 73","37.48311","126.98156"
"동작구","강남교회 교육관","만양로 76","37.51032644","126.9451014"
"동작구","사당종합체육관","사당로27길 232","37.49281","126.96966"
"동작구","사당문화회관","사당로8길 9","37.4847167","126.9696126"
"동작구","동작 청소년문화의 집","상도로15바길 5","37.50405039","126.9332459"
"동작구","신한은행 숭실대역 지점","상도로37길 76 (상도동)","37.497603","126.953122"
"동작구","상도1동주민센터","상도로53길 9","37.49810131","126.9530811"
"동작구","상도3동 주민센터","성대로2길 11","37.49912575","126.931404"
"동작구","신대방해피점","신대방1나길 26","37.48647483","126.9076849"
"동작구","우리은행 동작구청지점","장승배기로 161","37.51252778","126.9399421"
"동대문구","장안2동 공영주차장","답십리로65길 124-5","37.57826386","127.0706008"
"동대문구","휘경동공영주차장","망우로12길 33","37.588047","127.058128"
"동대문구","답십리도서관","서울시립대로4길 75","37.57319298","127.0503603"
"동대문구","동대문종합사회복지관","약령시로5길 22","37.584021","127.034197"
"동대문구","나사렛교회","전농로27길 42","37.5805262","127.0530044"
"동대문구","시립 동대문 청소년센터","제기로33길 25","37.58724714","127.0500267"
"동대문구","동대문구청 종합민원실","천호대로 145","37.57439171","127.0398965"
"동대문구","장안종합사회복지관","한천로18길 48","37.56795152","127.0661707"
"동대문구","이문체육문화센터","한천로58길 81-49","37.60230","127.06884"
"동대문구","정보화도서관","회기로10길 60","37.58996952","127.0472897"
"동대문구","회기동공영주차장","회기로25길 31","37.59230943","127.0559085"
"동대문구","신한은행 외대역 지점","휘경로 23(이문동)","37.595589","127.062647"
"도봉구","창2동 신창교회","덕릉로 247","37.63984358","127.0388073"
"도봉구","창3동 주민센터","덕릉로62길 89","37.63809005","127.0429215"
"도봉구","도봉구민회관","도봉로 552","37.65416726","127.0386849"
"도봉구","염광교회","도봉로120길 16","37.65038056","127.0374291"
"도봉구","도봉1동주민센터","도봉로169나길 22","37.67869082","127.0434132"
"도봉구","도봉구민청","마들로 656","37.668717","127.047131"
"도봉구","도봉서원종합사회복지관","마들로 668","37.66967564","127.046534"
"도봉구","창동역1번출구","마들로11길 77","37.65321749","127.047715"
"도봉구","방아골종합사회복지관","시루봉로17길 42","37.66931252","127.0326388"
"도봉구","창동 도봉육아종합지원센터","우이천로4길 24-5","37.63354999","127.0411221"
"도봉구","창1동제1공영주차장","창1동 657-37","37.64712815","127.0371817"
"노원구","공릉 청소년문화정보센터","노원로1나길 10","37.62151983","127.0830492"
"노원구","상계34동 주민센터","덕릉로 859","37.67291122","127.0832362"
"노원구","공릉종합사회복지관","동일로 1127 공릉아파트","37.630164","127.069856"
"노원구","상계문화정보도서관","동일로 243길 57","37.67842","127.05189"
"노원구","공릉1동 주민센터(노원)","동일로186길 3-24","37.62477802","127.0737505"
"노원구","상계2동주민센터","상계로 118","37.65748324","127.0678641"
"노원구","상계역 자전거대여소","상계로 190","37.66136038","127.0740077"
"노원구","월계치안센터","석계로 93","37.62281514","127.0614537"
"노원구","월계문화정보도서관","월계로 319","37.62863769","127.0561228"
"금천구","가산동주민센터","가산로 129","37.47689179","126.8917817"
"금천구","금빛휘트니스센터","금하로 668","37.45266798","126.9044062"
"금천구","금하마을주민공동이용시설","금하로1다길 16","37.452986","126.891425"
"금천구","독산2동주민센터","독산로 179","37.463147","126.903483"
"금천구","시흥4동 주민센터","독산로36길 14","37.45897882","126.9061845"
"금천구","금천호암노인복지관","독산로72길 86-5","37.46951288","126.9064493"
"금천구","독산1동주민센터","시흥대로123길 11","37.47021904","126.8970437"
"금천구","청춘삘딩","시흥대로138길 10-11","37.472167","126.899278"
"금천구","시흥3동 주민센터","시흥대로18길 40","37.44025906","126.9058017"
"금천구","금천구청","시흥대로73길 70","37.45706564","126.8960369"
"구로구","구로구민회관","가마산로25길 21","37.49710267","126.8895491"
"구로구","중앙경로당","개봉로15길 58-2","37.48996927","126.8528771"
"구로구","오류1동텃골공영주차장","경인로15길 22","37.49547454","126.8391859"
"구로구","동양미래대학교 기숙사","고척동 76-11","37.499486","126.864981"
"구로구","구로구민 체육센터","고척로45길 39","37.5065812","126.8532759"
"구로구","구로2동주민센터앞","구로동로 141","37.49131972","126.883399"
"구로구","구로구 시설관리공단","구로동로26길 54","37.48988023","126.8865602"
"구로구","구로역1번출구 NC백화점","구로중앙로 174","37.50243453","126.8814915"
"구로구","서울메트로대림별관","도림천로 352","37.49343362","126.8942425"
"구로구","온수동 공동이용시설","부일로1길 62","37.49329135","126.8190678"
"구로구","현대오일뱅크 구로셀프점","시흥대로 531","37.48094","126.89919"
"구로구","궁동종합사회복지관","오리로22길 5","37.49913461","126.8295642"
"구로구","가리봉동주민센터","우마2길 35","37.482533","126.889717"
"광진구","중곡종합건강센터","긴고랑로 110","37.55933775","127.0870912"
"광진구","중곡1동주민센터","긴고랑로12길 49","37.56066758","127.0800521"
"광진구","중곡감리교회","긴고랑로36길 56","37.55696345","127.0907844"
"광진구","중곡문화체육센터","능동로 433","37.56777923","127.0848024"
"광진구","화양동주민센터","능동로17길 39","37.54653715","127.0713179"
"광진구","현대오일뱅크 중원점","동일로 398","37.56587","127.07769"
"광진구","자양4동 주민센터","뚝섬로26길 58","37.53409774","127.0662583"
"광진구","자양문화체육센터","뚝섬로52길 66","37.52925","127.07752"
"광진구","군자동 주민센터","면목로 13","37.555490","127.075440"
"광진구","동부여성발전센터","아차산로30길 36","37.53940284","127.0667178"
"광진구","광진경찰서","자양로 167","37.54291139","127.0839021"
"광진구","구의2동주택가 공동주차장","자양로 309","37.55309169","127.0931195"
"광진구","구의1동 공영주차장","자양로18길 78","37.538275","127.087867"
"광진구","자양2동주민센터","자양로3가길 26","37.5288","127.084389"
"광진구","자양종합사회복지관","자양번영로 35","37.53289844","127.0752337"
"관악구","관악구청","관악로 145","37.47821059","126.9515013"
"관악구","미성동자치회관","난곡로 52길 16","37.478233","126.916214"
"관악구","현대오일뱅크 관악셀프점","남부순환로 1520","37.48242","126.91943"
"관악구","인헌동주민센터","남부순환로246가길 20","37.47509931","126.9653244"
"관악구","남현동 주민센터","남현1가길 29","37.47468782","126.9778753"
"관악구","대학동치안센터","대학길 48","37.4685737","126.9375577"
"관악구","신림여성교실","대학길 64","37.46792","126.93745"
"관악구","서원동주민센터","신림로 282","37.47976917","126.9313747"
"관악구","관악청소년회관","신림로23길 17","37.47024388","126.9352434"
"관악구","행복경로당","신림로36길 12-10","37.475661","126.937942"
"관악구","청룡동 주민센터","쑥고개로 44","37.47911752","126.9416408"
"관악구","신한은행 (구)봉천서 지점","은천로 110 (봉천동)","37.486686","126.94735"
"관악구","신사동자치회관","조원로 151-1","37.48595223","126.9191029"
"관악구","조원동주민센터","조원로12길 25","37.48256328","126.9077947"
"관악구","행운동주민센터","행운1길 43","37.4806426","126.9570309"
"관악구","신한은행 신림대학동 지점","호암로26길 58 대학동 (신림동)","37.470189","126.936819"
"강서구","가로공원공영주차장1번출구","가로공원로 189","37.53723485","126.8370391"
"강서구","발산1동주민센터","강서로47길 54","37.55311631","126.8331774"
"강서구","내발산동 문화센터","강서로52길 89","37.55749617","126.8431978"
"강서구","곰달래복지문화센터","강서로5길 50","37.52906001","126.8488981"
"강서구","화곡 1-1 공영주차장","곰달래로15길 28","37.53142042","126.8398737"
"강서구","화곡8동 주민센터","곰달래로25길 45","37.53269577","126.8483303"
"강서구","화곡4동주민센터","곰달래로57가길 26","37.53468533","126.8608015"
"강서구","길꽃어린이도서관","금낭화로24길 5","37.578736","126.813542"
"강서구","볏골공원공원주차장","까치산로4길 22","37.54181557","126.8443228"
"강서구","신방화역환승주차장","마곡서1로 111-12","37.566948083113644","126.81784028465279"
"강서구","화곡2동주민센터","서울특별시 강서구 곰달래로37길 13","37.531842","126.854517"
"강서구","공항동 주민센터","송정로 45","37.55878282","126.8100744"
"강서구","화곡 6-1 공영주차장","우장산로 114","37.55303204","126.848514"
"강서구","화곡 3-1 공영주차장","화곡로15길 40","37.54176857","126.8347274"
"강북구","수유역1번출구","도봉로 338","37.63825762","127.0262147"
"강북구","미아사거리역1번출구","도봉로 50","37.614017","127.030210"
"강북구","강북구청 본관 입구","도봉로89길 13","37.63918564","127.0254495"
"강북구","강북문화예술회관","삼각산로 85","37.64098982","127.0138782"
"강북구","수유1동 주민센터","삼양로 299","37.63005161","127.0175593"
"강북구","솔밭근린공원 개방화장실","삼양로 561","37.65301303","127.0122541"
"강북구","강북노인종합복지회관","삼양로92길 40","37.63568684","127.0187526"
"강북구","미아동 복합청사","솔매로49길 14","37.62709132","127.0269752"
"강북구","번동북부시장 북부마트","한천로123길 26","37.63623598","127.0303422"
"강동구","강동구립암사도서관","고덕로20길 42","37.55283303","127.1333655"
"강동구","2001아울렛천호점","구천면로 189","37.54159197","127.1255364"
"강동구","강동평생학습센터","구천면로 395","37.55104074","127.1429043"
"강동구","길동주민센터","길동 228-10","37.53445","127.14268"
"강동구","강동구민회관","상암로 168","37.54573146","127.1412225"
"강동구","암사2동 주민센터","상암로3길 28","37.55170631","127.1272709"
"강동구","둔촌역전통시장공영주차장","성내동 417-34","37.528578","127.133714"
"강동구","성내1동 주민센터","성내로 13","37.53047772","127.122458"
"강동구","강동구 청소년회관","양재대로138길 41","37.54975735","127.1462327"
"강동구","강동구립해공도서관","올림픽로 702","37.5440326349","127.125559726"
"강남구","도곡2동주민센터","남부순환로378길 34-9","37.48372311","127.046407"
"강남구","역삼청소년수련관","논현로64길 7","37.493975","127.040911"
"강남구","도곡1동 주민센터","도곡로18길 57","37.48831029","127.0388804"
"강남구","대치4동 주민센터","도곡로77길 23","37.49972971","127.0578495"
"강남구","현대오일뱅크 신사현대점","서울특별시 강남구 도산대로 163","37.51934","127.02633"
"강남구","일원1동주민센터","양재대로55길 14","37.4918547","127.0880264"
"강남구","역삼1동 주민센터","역삼로7길 16","37.495356","127.033375"
"강남구","대치2동 주민센터","영동대로65길 24","37.50230436","127.0641877"
"강남구","논현1동주민센터","학동로20길 25","37.51150384","127.0285346"